"",winner_ioc
0,SRB
1,ESP
8,RUS
10,GBR
11,AUS
12,BEL
15,FRA
20,RSA
32,JPN
36,GEO
41,BUL
56,ITA
58,NOR
61,USA
62,CRO
64,AUT
66,POL
68,ARG
74,GRE
75,GER
76,CAN
89,SUI
94,SLO
97,HUN
103,KAZ
108,TUR
130,URU
156,SWE
159,BRA
178,LAT
188,CHI
197,BLR
201,LTU
300,SVK
337,FIN
348,CZE
357,KOR
366,IND
376,POR
406,TPE
621,BOL
634,PER
934,COL
966,MDA
1349,ECU
1351,NED
1360,BIH
1364,DOM
1367,THA
1373,MEX
1379,PAK
1384,ISR
1389,UKR
1391,NZL
1392,VEN
1398,DEN
1403,ESA
1406,EST
1409,GUA
1410,TUN
1412,INA
1415,EGY
1419,ALG
1421,MAR
1422,PAR
1432,UNK
1433,ZIM
